source,source_venue_id,name,latitude,longitude
cbbd,1,Allen Fieldhouse,38.954313,-95.252821
cbbd,10,Addition Financial Arena,28.607341,-81.197297
cbbd,103,Bartow Arena,33.502124,-86.809244
cbbd,106,Cintas Center,39.150438,-84.471785
cbbd,107,Prudential Center,40.733430,-74.171148
cbbd,108,Bryce Jordan Center,40.808572,-77.855468
cbbd,109,Humphrey Coliseum,33.461495,-88.793980
cbbd,11,Mackey Arena,40.433335,-86.916171
cbbd,110,Stegeman Coliseum,33.942772,-83.378136
cbbd,111,Jack Stephens Center,34.728477,-92.340457
cbbd,112,CFSB Center,36.622668,-88.319882
cbbd,113,Baxter Arena,41.236117,-96.013011
cbbd,114,Scheels Center,46.883073,-96.772447
cbbd,115,Reynolds Center,36.149002,-95.942178
cbbd,116,UCCU Center,40.278937,-111.718493
cbbd,117,Credit Union 1 Arena,41.874699,-87.656136
cbbd,118,Joseph G. Echols Hall,36.847981,-76.258161
cbbd,119,Memorial Gymnasium (TN),36.144521,-86.807277
cbbd,12,Fiserv Forum,43.045010,-87.917487
cbbd,120,CEFCU Arena,40.510684,-88.998791
cbbd,121,Carver Arena,40.691861,-89.593553
cbbd,127,Cajundome,30.218200,-92.040902
cbbd,129,Mitchell Center,30.692283,-88.179688
cbbd,13,T-Mobile Arena,36.102678,-115.178224
cbbd,130,Reed Green Coliseum,31.330997,-89.337934
cbbd,131,First National Bank Arena,35.845374,-90.670344
cbbd,132,Rolle Activity Center,35.176814,-111.655325
cbbd,133,Montagne Center,30.044059,-94.070721
cbbd,136,Charles E. Smith Center,38.897814,-77.049353
cbbd,139,McLeod Center,42.514236,-92.467303
cbbd,14,Fifth Third Arena,39.131104,-84.514117
cbbd,140,Finneran Pavilion,40.034047,-75.336576
cbbd,141,Wintrust Arena,41.853699,-87.621355
cbbd,142,Kohl Center,43.069421,-89.396878
cbbd,143,Welsh-Ryan Arena,42.066869,-87.692441
cbbd,144,Carver-Hawkeye Arena,41.664010,-91.554537
cbbd,145,FedExForum,35.138233,-90.050769
cbbd,147,Pinnacle Bank Arena,40.817856,-96.712528
cbbd,148,Crisler Center,42.265041,-83.746671
cbbd,149,State Farm Center,40.096291,-88.235897
cbbd,15,VyStar Veterans Memorial Arena,30.325744,-81.644981
cbbd,150,Schollmaier Arena,32.708830,-97.366697
cbbd,151,Cassell Coliseum,37.222507,-80.418912
cbbd,152,Conte Forum,42.335147,-71.167766
cbbd,154,William R. Johnson Coliseum,31.622261,-94.640879
cbbd,158,America First Events Center,37.675503,-113.072875
cbbd,159,Moody Coliseum (Abilene),32.470354,-99.709215
cbbd,16,Pauley Pavilion,34.070487,-118.446777
cbbd,162,Moody Coliseum,32.840397,-96.780682
cbbd,164,Lloyd Noble Center,35.187020,-97.444314
cbbd,166,Don Haskins Center,31.777607,-106.505688
cbbd,167,Pan American Center,32.283999,-106.742227
